,Info,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
,MatchID,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle
,Address,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist
0,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,8,8,2,8,5,10,0,15,1,13,1,5,1,7,6,3,0,7,1,6
1,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30054?gameHash=055b17da8456fdc8,4,1,3,3,2,5,0,7,1,7,4,4,1,6,3,3,1,6,0,4
2,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30067?gameHash=8e8a9b58df366e2d,7,6,3,10,9,10,2,13,1,13,3,2,2,4,2,2,0,6,1,4
3,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30091?gameHash=0ed1cd0e0e57329c,4,3,4,3,1,7,0,4,1,8,5,12,7,6,6,11,0,16,3,16
4,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30105?gameHash=f932becf86175f38,9,10,2,14,7,6,1,20,3,15,0,9,5,3,3,5,0,5,2,5
5,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30131?gameHash=194c672d7969984f,2,1,0,1,0,2,1,2,1,1,1,3,2,3,4,2,0,8,1,7
6,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30133?gameHash=2a7ecaf7380e9d89,3,13,10,10,6,11,2,17,4,19,1,2,0,1,6,0,0,6,0,5
7,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30149?gameHash=c1678fe8c1106f56,7,13,3,9,9,12,3,12,5,17,2,6,4,6,4,8,1,7,1,5
8,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30161?gameHash=23bade11cbfc3da3,0,7,3,2,5,3,0,8,0,4,7,10,4,9,5,11,4,13,2,11
9,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30172?gameHash=bb82a23d050613d1,9,3,4,6,2,6,0,13,1,8,5,3,2,1,2,0,0,3,0,5
10,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000016?gameHash=e8fbe00273df6ede,1,3,0,3,4,0,0,4,0,3,2,1,0,3,2,1,0,1,0,3
11,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000017?gameHash=00a7858e986c8d87,4,5,5,3,5,5,0,11,2,9,6,5,3,9,4,5,0,10,1,8
12,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000029?gameHash=0a0ecdfbe1497be1,4,8,1,4,4,7,3,9,3,9,2,1,0,2,0,2,1,1,0,2
13,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000044?gameHash=7a7bb445d18d9d78,1,0,0,1,3,1,0,3,0,3,6,4,0,7,2,6,2,6,2,8
14,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000054?gameHash=205d8eb5a6029a26,6,3,0,8,4,5,3,9,0,11,0,2,0,3,2,0,1,3,1,2
15,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010082?gameHash=526656c79ac5b9d1,6,4,2,8,3,5,2,11,2,7,3,2,1,4,2,3,0,6,1,5
16,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010089?gameHash=a196e7371aa0a23c,0,2,1,1,1,1,0,2,0,2,9,4,3,11,3,8,0,15,6,6
17,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010098?gameHash=9e3a93e956d7732b,2,9,3,4,7,5,1,11,0,13,1,0,0,1,0,1,0,0,0,1
18,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010106?gameHash=4ee943c3b28c3680,5,6,3,12,8,8,2,17,2,11,1,9,2,8,9,3,0,12,2,10
19,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010113?gameHash=27b78c313c1137d7,1,9,1,10,9,5,1,13,3,4,5,9,4,11,9,8,1,17,0,16
20,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020025?gameHash=ff41aed69d32573b,4,2,0,5,5,1,2,4,1,4,11,9,2,13,11,8,1,13,2,19
21,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020027?gameHash=62e360abbd8ddc56,3,7,3,7,5,10,2,10,4,9,2,1,1,3,0,3,0,2,1,2
22,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70,0,0,2,0,3,1,1,3,0,2,7,7,1,9,7,8,1,12,2,12
23,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f,2,3,2,3,3,4,0,7,3,4,1,0,0,2,1,2,1,2,1,2
24,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940,3,4,2,6,4,4,0,8,1,8,9,7,4,9,5,7,1,14,2,9
25,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906,1,3,2,1,1,3,0,5,2,1,1,2,1,0,1,1,0,3,1,3
26,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020066?gameHash=5ebe8599510754b7,10,4,0,11,3,5,0,10,3,8,2,5,0,7,3,3,0,7,2,4
27,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020073?gameHash=ef40a808db5a979c,2,2,3,5,1,6,2,2,0,3,2,10,5,9,9,7,1,15,1,12
28,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3,4,10,4,4,6,3,1,9,2,10,2,1,0,2,0,1,0,3,1,1
29,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a,10,6,2,7,5,9,0,14,1,7,1,2,0,4,1,2,2,2,0,2
30,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410,1,3,2,3,3,2,0,6,2,4,8,3,1,8,6,6,0,14,1,8
31,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2,8,17,2,16,10,12,2,23,8,17,0,8,4,7,4,5,0,9,4,7
32,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030110?gameHash=e1bde5fe2c45e8e3,0,1,0,0,0,1,1,0,0,1,1,4,0,3,2,3,2,4,2,5
33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030118?gameHash=39b9ce5203d86ca3,2,1,0,2,1,2,0,2,0,2,4,6,4,7,6,7,2,12,2,13
34,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,1,8,2,6,12,4,1,15,1,14,8,9,3,14,10,10,0,20,4,17
35,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227,4,8,2,9,8,7,1,12,1,11,2,2,2,4,3,1,1,5,0,4
36,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44,8,5,6,10,4,10,0,15,6,11,2,3,2,5,4,4,1,9,2,8
37,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,3,5,4,5,3,5,2,7,3,6,7,8,2,9,9,10,1,16,1,18
38,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec,7,6,7,14,5,10,1,15,4,12,6,4,0,6,4,4,0,10,1,8
39,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,10,9,4,18,8,11,3,14,2,16,1,7,4,4,6,6,0,11,4,4
40,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e,1,1,3,1,3,2,0,4,0,2,3,5,0,7,3,5,2,6,2,6
41,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040017?gameHash=30f903bff8e6336a,6,4,0,10,4,7,1,8,2,10,3,12,3,13,13,5,1,16,0,13
42,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040024?gameHash=2e458128cf3104dc,2,8,2,9,6,3,2,7,2,7,2,1,1,0,0,0,0,0,0,1
43,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040034?gameHash=c7dc48aa3e0cf7d9,2,1,0,4,3,2,0,4,0,3,6,7,5,8,1,7,0,11,2,9
44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396,4,5,0,3,3,3,0,9,3,1,0,0,0,2,0,1,0,1,2,0
45,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040061?gameHash=3d6baa0cc755c64b,3,10,2,10,6,7,0,12,4,7,7,2,1,6,2,9,1,7,0,11
46,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,2,10,4,10,10,10,0,12,7,6,2,15,1,5,16,2,0,20,2,19
47,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040068?gameHash=a5610f43cd3d602d,2,7,1,6,5,5,0,10,4,8,13,9,4,14,6,15,1,19,2,17
48,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040074?gameHash=4a8f29871aa91c19,2,4,2,3,1,5,2,5,2,5,8,5,5,8,2,8,1,13,4,11
49,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040080?gameHash=396617cc71cbceda,6,4,2,12,5,7,0,11,1,11,0,0,2,2,1,2,1,4,1,4
50,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040096?gameHash=bc68309937870981,1,0,0,3,0,0,0,2,2,1,4,3,2,8,1,6,0,6,3,6
51,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040103?gameHash=a533f17d4bb03191,4,7,8,4,3,5,1,9,2,13,4,7,1,7,4,4,0,10,2,6
52,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040111?gameHash=ca91673c6bf73b8c,1,5,8,2,2,5,0,10,2,6,0,1,0,0,2,0,1,2,0,1
53,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040117?gameHash=50ad455b65d0dc4a,7,8,4,6,5,9,0,18,4,10,3,0,0,2,3,0,0,1,0,2
54,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040123?gameHash=4ed8e2415375e46a,6,7,0,12,8,4,1,13,0,14,1,2,1,2,1,2,0,3,0,2
55,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040132?gameHash=1a0b4fb7d835dfe3,5,8,1,9,6,6,0,8,3,7,1,1,2,0,0,2,0,2,0,2
56,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040142?gameHash=829819eb50b6fb17,4,9,2,8,6,6,3,12,1,11,0,1,0,0,2,0,0,2,0,2
57,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040154?gameHash=9272190b156f9bfc,7,8,2,16,7,9,2,15,3,17,3,4,2,7,2,3,0,7,4,5
